industry1,quarter,resignation_rate
manufacturing,2013-Q3,1.7321428571428572
manufacturing,2013-Q4,1.3607142857142858
manufacturing,2014-Q1,1.7285714285714284
manufacturing,2014-Q2,1.8964285714285716
manufacturing,2014-Q3,2.292857142857143
manufacturing,2014-Q4,1.3857142857142857
manufacturing,2015-Q1,1.6821428571428572
manufacturing,2015-Q2,1.875
manufacturing,2015-Q3,1.6392857142857142
manufacturing,2015-Q4,1.167857142857143
manufacturing,2016-Q1,1.5642857142857143
manufacturing,2016-Q2,1.6964285714285714
manufacturing,2016-Q3,1.6714285714285715
manufacturing,2016-Q4,1.2964285714285713
manufacturing,2017-Q1,1.5964285714285715
manufacturing,2017-Q2,1.75
manufacturing,2017-Q3,1.5285714285714285
manufacturing,2017-Q4,1.3571428571428572
manufacturing,2018-Q1,1.6500000000000001
manufacturing,2018-Q2,1.8607142857142858
manufacturing,2018-Q3,1.6285714285714286
manufacturing,2018-Q4,1.425
manufacturing,2019-Q1,1.75
manufacturing,2019-Q2,1.8035714285714286
manufacturing,2019-Q3,1.4857142857142858
manufacturing,2019-Q4,1.075
manufacturing,2020-Q1,1.3571428571428572
manufacturing,2020-Q2,1.0535714285714286
manufacturing,2020-Q3,1.3071428571428572
manufacturing,2020-Q4,1.4785714285714284
manufacturing,2021-Q1,1.5464285714285713
manufacturing,2021-Q2,1.7357142857142858
manufacturing,2021-Q3,1.575
manufacturing,2021-Q4,1.457142857142857
manufacturing,2022-Q1,1.532142857142857
manufacturing,2022-Q2,1.6035714285714284
manufacturing,2022-Q3,1.5285714285714285
manufacturing,2022-Q4,1.2214285714285715
manufacturing,2023-Q1,1.3357142857142856
others,1998-Q1,1.775
others,1998-Q2,2.0
others,1998-Q3,2.0
others,1998-Q4,1.45
others,1999-Q1,1.425
others,1999-Q2,2.075
others,1999-Q3,0.775
others,1999-Q4,0.625
others,2000-Q1,1.875
others,2000-Q2,2.3
others,2000-Q3,2.225
others,2000-Q4,1.4249999999999998
others,2001-Q1,2.7
others,2001-Q2,2.55
others,2001-Q3,2.3499999999999996
others,2001-Q4,1.725
others,2002-Q1,1.875
others,2002-Q2,2.225
others,2002-Q3,2.775
others,2002-Q4,2.4749999999999996
others,2003-Q1,1.8
others,2003-Q2,2.425
others,2003-Q3,2.2750000000000004
others,2003-Q4,2.4
others,2004-Q1,2.1
others,2004-Q2,2.375
others,2004-Q3,2.675
others,2004-Q4,2.25
others,2005-Q1,2.375
others,2005-Q2,2.175
others,2005-Q3,2.05
others,2005-Q4,2.525
others,2006-Q1,1.275
others,2006-Q2,1.575
others,2006-Q3,1.15
others,2006-Q4,0.975
others,2007-Q1,1.05
others,2007-Q2,1.45
others,2007-Q3,1.8
others,2007-Q4,1.575
others,2008-Q1,2.05
others,2008-Q2,2.4749999999999996
others,2008-Q3,2.1
others,2008-Q4,1.65
others,2009-Q1,2.1
others,2009-Q2,1.85
others,2009-Q3,1.775
others,2009-Q4,1.5750000000000002
others,2010-Q1,1.175
others,2010-Q2,1.575
others,2010-Q3,2.1
others,2010-Q4,1.4
others,2011-Q1,1.9249999999999998
others,2011-Q2,1.625
others,2011-Q3,2.1
others,2011-Q4,1.35
others,2012-Q1,1.55
others,2012-Q2,1.875
others,2012-Q3,1.7
others,2012-Q4,1.375
others,2013-Q1,1.625
others,2013-Q2,1.775
others,2013-Q3,1.7
others,2013-Q4,0.8500000000000001
others,2014-Q1,1.9249999999999998
others,2014-Q2,1.55
others,2014-Q3,1.7
others,2014-Q4,1.275
others,2015-Q1,1.5
others,2015-Q2,1.45
others,2015-Q3,1.675
others,2015-Q4,1.5
others,2016-Q1,1.475
others,2016-Q2,1.7999999999999998
others,2016-Q3,1.425
others,2016-Q4,1.05
others,2017-Q1,1.475
others,2017-Q2,1.35
others,2017-Q3,2.3499999999999996
others,2017-Q4,1.15
others,2018-Q1,2.15
others,2018-Q2,1.625
others,2018-Q3,1.5250000000000001
others,2018-Q4,1.375
